URL,Name,Year,Time,Rating,Genre,Director,Stars
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Deadpool 2,2018,119 min,R,"Action, Adventure, Comedy",David Leitch,"Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Triple Threat,2019,96 min,R,"Action, Thriller",Jesse V. Johnson,"Tony Jaa,Tiger Hu Chen,Iko Uwais,Scott Adkins"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Guardians of the Galaxy,2014,121 min,PG-13,"Action, Adventure, Comedy",James Gunn,"Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Sonic the Hedgehog,2019,,,"Animation, Action, Adventure",Jeff Fowler,"Jim Carrey,James Marsden,Neal McDonough,Ben Schwartz"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",John Wick: Chapter 3 - Parabellum,2019,130 min,,"Action, Thriller",Chad Stahelski,"Keanu Reeves,Ian McShane,Asia Kate Dillon,Jerome Flynn"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",The Meg,2018,113 min,PG-13,"Action, Horror, Sci-Fi",Jon Turteltaub,"Jason Statham,Bingbing Li,Rainn Wilson,Cliff Curtis"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Rambo V: Last Blood,2019,,,"Action, Adventure, Thriller",Adrian Grunberg,"Sylvester Stallone,Paz Vega,Louis Mandylor,Joaquín Cosio"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Destroyer,2018,121 min,R,"Action, Crime, Drama",Karyn Kusama,"Nicole Kidman,Toby Kebbell,Tatiana Maslany,Sebastian Stan"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",The Dark Knight,2008,152 min,PG-13,"Action, Crime, Drama",Christopher Nolan,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=1&ref_=adv_nxt",Zombieland: Double Tap,2019,,,"Action, Comedy, Horror",Ruben Fleischer,"Woody Harrelson,Emma Stone,Zoey Deutch,Bill Murray"
