URL,Name,Stars,Year,Time,Rating,Genre,Director
https://www.rottentomatoes.com/m/inception,inception,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Tai-Li Lee,Claire Geare,Magnus Nolan,Taylor Geare,Jonathan Geare,Johnathan Geare,Tohoru Masamune,Yuji Okumoto,Earl Cameron,Ryan Hayward,Miranda Nolan,Russ Fega,Tim Kelleher,Talulah Riley,Nicolas Clerc,Coralie Dedykere,Silvie Laguna,Virgile Bramly,Jean-Michel Dagory,Helena Cullinan,Mark Fleischmann,Shelley Lang,Adam Cole,Jack Murray,Kraig Thornber,Angela Nathenson,Natasha Beaumont,Mark Raducci,Marc Raducci,Carl Gilliard,Jill Maddrell,Alex Lombard,Nicole Pulliam,Peter Basham,Michael Gaston,Felix Scott,Andrew Pleavin,Lisa Reynolds,Jason Tendell,Jack Gilroy,Shannon Welles","Jul 16, 2010",148 minutes,PG-13 (for sequences of violence and action throughout),"Action & Adventure,Drama,Mystery & Suspense,Science Fiction & Fantasy",Christopher Nolan
https://www.rottentomatoes.com/m/jonah_hex,jonah hex,"Josh Brolin,John Malkovich,Megan Fox,Michael Fassbender,Will Arnett,John Gallagher Jr.,Tom Wopat,Michael Shannon,Jeffrey Dean Morgan,Wes Bentley,Julia Jones,Luke James Fleischmann,Rio Hackford,Dave Jensen,Billy Blair,Sean Boyd,John McConnell,Jackson Townsend,T.J. Toups,T.J. Toups,Ned Coleman,Jack Wirt,Ty Holland,J.D. Evermore,Scott Staggers,Jimmy Hayward,Michael Arnona,Noel Murano,Preston Acuff,Jonathan Bell,Vincent Riverside,Stephen Chen,Stephen S. Chen,Joe Billingiere,Bill Martin Williams,Milos Milicevic,Eric Scott Woods,Maureen Brennan,John Kennon Pepper,John Kennon Kepper,L.W. Gray Hawk Perkins,Seth Gabel,Bruce &quot;Sunpie&quot; Barnes,Andy Ryan,Darin Heames,Mitchell Amundsen,Matt Lasky,Aidan Quinn,Rance Howard,Antal Kalik,Michael Papajohn,Tait Fletcher,Paul Zies,Brian Elerding,Lance Reddick,Jake Radaker","Jun 18, 2010",84 minutes,"PG-13 (for intense sequences of violence and action, disturbing images and sexual content)","Action & Adventure,Drama,Horror,Western",Jimmy Hayward
https://www.rottentomatoes.com/m/1213717-salt,1213717-salt,"Angelina Jolie,Liev Schreiber,Chiwetel Ejiofor,Daniel Olbrychski,August Diehl,Daniel Pearce,Hunt Block,Andre Braugher,Olek Krupa,Cassidy Hinkle,Corey Stoll,Vladislav Koulikov,Olya Zueva,Kevin O&#39;Donnell,Gaius Charles,Zach Shaffer,Albert Jones,Zoe Lister-Jones,Paul Juhn,Tika Sumpter,David Bishins,Yara Shahidi,Gary Wilmes,Jordan Lage,Jeremy Davidson,Zack Shaffer,Michelle Ray Smith,Marion McCorry,Vladimir Tevlovski,Steve Cirbus,Roslyn Ruff,Jeb Brown,Lara Apponyi,Vitali Baganov,Peter Weireter,Ryan Cyrus Shams,Colleen Werthmann,Liam Joynt,Victoria Cartagena,Armand Schultz,Ivo Velon,Kamar de los Reyes,Jalil Lynch,Victor Slezak,Dionne Audain,Jalil Jay Lynch,Mike Colter,Beverly Kirk,Barbara Harrison,Lynn C. Sanders,Theresa Caggiano,Nick Poltoranin,Vladimir Troitsky,Hristo Hristov,James Nuciforo,Jose L. Rodriguez,Avis Boone,Scotty Dillin,Alexander Martin Jones,Angelo Lopez,Stephen Breach,Mike Conneen,Gregory R. Kelly,Elizabeth Kaledin,Angel David,Frank Harts","Jul 23, 2010",100 minutes,PG-13 (for intense sequences of violence and action),"Action & Adventure,Mystery & Suspense",Phillip Noyce
https://www.rottentomatoes.com/m/centurion,centurion,"Michael Fassbender,Dominic West,Olga Kurylenko,Noel Clarke,David Morrissey,J.J. Feild,Axelle Carolyn,Andreas Wisniewski,Dave Legeno,Lee Ross,Ulrich Thomsen,Ryan Atkinson,Paul Freeman,Eoin Macken,Liam Cunningham,Riz Ahmed,Imogen Poots,Rachael Stirling,Michael Carter,Tom Mannion,Peter Guinness,Dimitri Leonidas,Dhaffer L&#39;Abidine,Simon Chadwick,Jake Maskall,Dermot Keaney,Dylan Brown","Aug 27, 2010",97 minutes,"R (for sequences of strong bloody violence, grisly images and language)","Action & Adventure,Drama,Mystery & Suspense",Neil Marshall
https://www.rottentomatoes.com/m/racing_dream,racing dream,"Annabeth Barnes,Josh Hobson,Brandon Warren","May 21, 2010",95 minutes,PG (for some thematic elements and brief language.),"Action & Adventure,Documentary,Special Interest,Sports & Fitness",Marshall Curry
https://www.rottentomatoes.com/m/valhalla_rising,valhalla rising,"Mads Mikkelsen,Maarten Stevenson,Gordon Brown,Andrew Flanagan,Gary Lewis,Gary McCormack,Alexander Morton,Jamie Sives,Ewan Stewart,Matthew Zajac,Stewart Porter","Jul 16, 2010",90 minutes,NR,Action & Adventure,Nicolas Winding Refn
https://www.rottentomatoes.com/m/shrek_forever_after,shrek forever after,"Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Julie Andrews,John Cleese,Walt Dohrn,Jon Hamm,Jane Lynch,Craig Robinson,Kathy Griffin,Lake Bell,Mary Kay Place,Kristen Schaal,Meredith Vieira,Ryan Seacrest,Cody Cameron,Larry King,Regis Philbin,Christopher Knights,Conrad Vernon,Aron Warner,Jasper Johannes Andrews,Ollie Mitchell,Miles Christopher Bakshi,Nina Zoe Bakshi,Billie Hayes,Jeremy Hollingworth,James Ryan,Brian Hopkins,Chris Miller,Mike Mitchell","May 21, 2010",93 minutes,"PG (for mild action, some rude humor and brief language)","Action & Adventure,Animation,Comedy,Kids & Family,Science Fiction & Fantasy",Mike Mitchell
https://www.rottentomatoes.com/m/10011335-vengeance,10011335-vengeance,"Johnny Hallyday,Sylvie Testud,Anthony Wong,Gordon Lam,Suet Lam,Simon Yam,Siu-Fai Cheung,Felix Wong,Yuk Ng Sau,Maggie Shiu,Vincent Sze","Aug 4, 2010",108 minutes,R,"Action & Adventure,Art House & International,Mystery & Suspense",Johnnie To
https://www.rottentomatoes.com/m/the_horde,the horde,"Eriq Ebouaney,Aurélien Recoing,Eric Ebouaney,Claude Perron,Jean-Pierre Martins,Doudou Masta,Antoine Oppenheim,Jo Prestia,Yves Pignot","Jul 1, 2009",90 minutes,NR,"Action & Adventure,Art House & International,Horror,Mystery & Suspense",Benjamin Rocher
https://www.rottentomatoes.com/m/karate_kid_2010,karate kid 2010,"Jaden Smith,Jackie Chan,Taraji P. Henson,Zhenwei Wang,Han Wenwen,Rongguang Yu,Zhensu Wu,Zhiheng Wang,Shijia Lü,Yi Zhao,Jared Minns,Bo Zhang,Luke Carberry,Cameron Hillman,Ghye Samuel Brown,Rocky Shi,Wang Ji,Harry Van Gorkum,Tess Liu,Xinha Guo,Jijun Zhai,Shun Li,Yanyan Wu,Tao Ji,Chen Jing,Wentai Liu,Geliang Liang,Xu Ming","Jun 11, 2010",140 minutes,"PG (for bullying, martial arts action violence and some mild language)","Action & Adventure,Drama,Kids & Family",Harald Zwart
https://www.rottentomatoes.com/m/the_town,the town,"Ben Affleck,Rebecca Hall,Jon Hamm,Jeremy Renner,Blake Lively,Slaine Jenkins,Owen Burke,Titus Welliver,Pete Postlethwaite,Chris Cooper,Dennis McLaughlin,Corena Chase,Brian Scannell,Kerri Dunbar,Tony V.,Isaac Bordoy,Michael Yebba,Daniel Woods,Jimmy Joe Maher,Mark Berglund,Ralph Boutwell,Michael Romig,Michael Malvesti,Jack Neary,Edward O&#39;Keefe,Joe Lawler,Ben Hanson,Brian A. White,Richard Caines,Frank Garvin,Danny Ring,Gary Galone,David Catanzaro,Jeremiah Kissel,Malik McMullen,Charles C. Winchester III,Adam J. Husband,Danny DeMiller,Susan Rawlinson,Sean Locke,Peter Looney,Lennin Pena,James McKittrick,Ted Arcidi,Bryan Connolly,Quan Liang Chen,Alex Winston,Michael F. Murphy,Michele Cressinger,Kimberly Mahoney,Bobby Curcuro,Ginaya Greene,Nicole Page,Georgia Lyman,Robert Boyden,Jamie Ghazarian,Graham King","Sep 17, 2010",151 minutes,"R (for strong violence, pervasive language, some sexuality and drug use)","Action & Adventure,Drama,Mystery & Suspense,Romance",Ben Affleck
https://www.rottentomatoes.com/m/other_guys,other guys,"Will Ferrell,Mark Wahlberg,Eva Mendes,Michael Keaton,Dwayne Johnson,Samuel L. Jackson,Steve Coogan,Ray Stevenson,Lindsay Sloane,Natalie Zea,Rob Riggle,Damon Wayans Jr.,Bobby Cannavale,Zoe Lister-Jones,Adam McKay,Viola Harris,Brooke Shields,Anne Heche,Rosie Perez,Derek Jeter,David Gideon,Michael Delaney,Zach Woods,Michael G. Delaney,Andy Buckley (II) ,Roy T. Anderson,Rob Huebel,Brett Gelman,Danielle Cell,Brianne Moncrief,Joshua Church,Oliver Wood,Ben Schwartz,Jake Quinn,Patrick Ferrell,Will Lyman,Larnell Stovall,Jalil Jay Lynch,Roy T. Anderson,Andrew Secunda,Sara Chase,Josh Church,Ice-T,Alison Becker,Warren Kelley,Damon Wayans,Sean Heilig,Matthew J. McCarthy,Adam Phillips,Will Lyman,Tess Kartel,Rob Mars,C.C. Taylor,Elizabeth Kaledin,Peter R. Thewes,Robin Ng,Malachy McCourt,Barry Carl,Benjamin Magnuson,Thomas McDonnell III,Jimmy O&#39;Donnell,Kevin Osborne,Pierce Turner,James Archie Worley,Shakiem Evans,James Mazzola,Patrick Crowley,Tara Copeland,Eamon Speer,Patrick Reale,Zak Orth,Pete Antico,Jamie Dugal,Chris Gethard,Michael Fawcett,Pilar Angelique,Leroy Wilson, Jr.","Aug 6, 2010",107 minutes,"PG-13 (for crude and sexual content, language, violence and some drug material)","Action & Adventure,Comedy",Adam McKay
https://www.rottentomatoes.com/m/resident_evil_afterlife,resident evil afterlife,"Milla Jovovich,Ali Larter,Kim Coates,Shawn Roberts,Sergio Peris-Mencheta,Spencer Locke,Boris Kodjoe,Wentworth Miller,Sienna Guillory,Kacey Clarke,Norman Yeung,Fulvio Cecere,Ray Olubowale,Christopher Kano,Tatsuya Goke,Nobuya Shimamoto,Kenta Tomeoki,Peter Kosaka,Denis Akiyama,Shin Kawai,Mika Nakashima,Denis Akiyama Voyo","Sep 10, 2010",97 minutes,R (for sequences of strong violence and language),"Action & Adventure,Horror,Mystery & Suspense,Science Fiction & Fantasy",Paul W.S. Anderson
