,id1,id2
0,1004,474
1,1004,2415
2,101,84
3,101,44
4,101,2035
5,101,393
6,101,71
7,101,632
8,101,1954
9,101,1843
10,101,1429
11,101,214
12,101,26
13,101,1117
14,101,579
15,101,1580
16,101,1210
17,101,65
18,101,1094
19,101,1469
20,101,1348
21,101,178
22,101,206
23,101,2184
24,101,2589
25,101,2649
26,101,2243
27,101,2876
28,101,2697
29,101,2284
30,101,2789
31,101,2208
32,101,2492
33,101,2452
34,101,2758
35,101,2073
36,1010,2415
37,1013,1352
38,1016,2695
39,1016,558
40,1019,2844
41,1019,2415
42,1022,2851
43,1022,3047
44,1022,99
45,1031,2843
46,1031,1277
47,1031,1938
48,1037,1893
49,1040,840
50,1040,432
51,1040,80
52,1043,785
53,1046,1338
54,1055,2382
55,1055,2098
56,1061,2111
57,1061,2098
58,1061,1186
59,1064,444
60,1064,2098
61,1067,2415
62,1067,714
63,1067,1087
64,107,393
65,107,1325
66,107,2044
67,107,2710
68,107,2517
69,107,2649
70,1070,2415
71,1070,3047
72,1073,2098
73,1079,546
74,1082,3047
75,1082,328
76,1091,162
77,11,2832
78,110,1173
79,110,545
80,1100,947
81,1103,1730
82,1106,924
83,1109,2098
84,1112,2903
85,1124,598
86,1124,2270
87,1124,2723
88,1124,2422
89,1124,2514
90,1127,2300
91,113,808
92,113,286
93,113,332
94,113,1567
95,113,757
96,1130,2223
97,1130,1065
98,1133,395
99,1139,710
100,1139,2098
101,1145,1295
102,1154,1416
103,1157,31
104,1157,1565
105,1157,60
106,1157,2098
107,116,1736
108,116,480
109,1160,894
110,1160,778
111,1163,279
112,1166,650
113,1166,2923
114,1169,2216
115,1172,1928
116,1187,60
117,1187,1565
118,1187,31
119,1187,2098
120,119,2289
121,1190,2203
122,1190,596
123,1193,461
124,1193,2098
125,1199,2098
126,1202,279
127,1205,669
128,1205,2203
129,1208,2943
130,1214,1866
131,1217,2143
132,1217,1645
133,1217,948
134,1217,1942
135,1217,1925
136,122,2288
137,122,1435
138,122,436
139,122,1955
140,122,1390
141,122,1617
142,122,44
143,122,1607
144,1220,452
145,1223,2415
146,1226,2203
147,1229,3047
148,1238,2923
149,1238,633
150,1247,56
151,125,170
152,125,1633
153,125,1358
154,125,577
155,125,1446
156,125,1901
157,125,1985
158,1253,3004
159,1253,2923
160,1262,543
161,1262,1675
162,1262,382
163,1262,194
164,1265,922
165,1268,2098
166,1271,2541
167,1274,2098
168,1277,2003
169,1277,805
170,128,808
171,128,33
172,128,286
173,128,1583
174,128,13
175,128,2965
176,128,2721
177,128,2832
178,1280,2267
179,1286,517
180,1286,580
181,1286,142
182,1286,2098
183,1289,2098
184,1295,1565
185,131,2243
186,131,2208
187,131,2758
188,131,2697
189,131,2452
190,131,2492
191,131,2876
192,131,2288
193,131,2589
194,131,3065
195,131,2789
196,131,2073
197,131,2649
198,131,1469
199,131,44
200,131,1094
201,131,1348
202,131,178
203,131,206
204,131,1923
205,131,2035
206,131,579
207,131,1117
208,131,26
209,131,71
210,131,1607
211,131,1429
212,131,393
213,131,1843
214,131,1617
215,131,1954
216,131,1435
217,131,1210
218,1310,1206
219,1313,1084
220,1316,580
221,1316,142
222,1316,517
223,1316,2098
224,1319,151
225,1322,2674
226,1328,1344
227,1334,591
228,1337,2090
229,134,1123
230,134,197
231,134,13
232,134,198
233,134,119
234,134,1583
235,134,2721
236,134,2954
237,134,2832
238,1340,1115
239,1340,2203
240,1340,2399
241,1349,1167
242,1349,2098
243,1358,2098
244,1361,2889
245,1361,1393
246,137,1954
247,137,93
248,137,1610
249,137,2213
250,1370,655
251,1373,1694
252,1373,1296
253,1376,1503
254,1379,192
255,1388,154
256,1391,2111
257,1391,602
258,14,44
259,14,1469
260,14,1348
261,14,1117
262,14,2035
263,14,1843
264,14,1429
265,14,1390
266,14,1954
267,14,178
268,14,332
269,14,26
270,14,467
271,14,73
272,14,206
273,14,707
274,14,393
275,14,71
276,14,1094
277,14,1210
278,14,579
279,14,2492
280,14,2758
281,14,2452
282,14,2589
283,14,2073
284,14,2208
285,14,2894
286,14,2876
287,14,2789
288,14,2649
289,14,2184
290,14,2697
291,14,2243
292,140,579
293,140,1429
294,140,1094
295,140,71
296,140,26
297,140,867
298,140,1954
299,140,171
300,140,44
301,140,206
302,140,2035
303,140,393
304,140,1117
305,140,1210
306,140,1843
307,140,1348
308,140,178
309,140,1469
310,140,2452
311,140,2758
312,140,2697
313,140,2208
314,140,2073
315,140,2589
316,140,2243
317,140,2492
318,140,2649
319,140,2876
320,140,2789
321,140,2184
322,1409,382
323,1412,532
324,1412,584
325,1415,192
326,1415,1588
327,1424,1028
328,143,895
329,143,1280
330,1430,3038
331,1436,2226
332,1439,1237
333,1442,2223
334,1448,2950
335,1451,935
336,1454,2564
337,1457,596
338,1469,973
339,1469,2128
340,1469,2207
341,1475,870
342,1478,279
343,1481,1678
344,1484,238
345,149,2901
346,149,960
347,1502,2227
348,1502,3038
349,1502,1542
350,1502,1872
351,1505,3038
352,1508,1629
353,1508,705
354,1511,3038
355,1514,257
356,152,2288
357,152,44
358,152,1607
359,152,1617
360,152,1435
361,1520,1427
362,1535,3038
363,1535,1542
364,1538,3038
365,1541,723
366,1547,1058
367,155,2069
368,155,26
369,155,44
370,155,71
371,155,2035
372,155,1469
373,155,1429
374,155,178
375,155,206
376,155,1348
377,155,1210
378,155,1843
379,155,393
380,155,1117
381,155,1094
382,155,579
383,155,2492
384,155,2589
385,155,2452
386,155,2208
387,155,2136
388,155,2184
389,155,2758
390,155,2789
391,155,2649
392,155,2243
393,155,2697
394,155,2876
